Age,Fare,Sex,Embarked,Pclass,Survived
3.6,25.71,female,S,1,1
44.9,4.12,male,S,1,0
36.0,27.06,male,S,2,1
31.4,25.66,female,S,3,0
36.1,7.61,female,S,3,1
11.1,22.76,male,S,2,1
32.4,20.33,female,S,3,0
39.3,,female,C,3,1
52.7,40.32,male,Q,3,1
28.8,1.85,female,S,1,0
25.3,18.78,female,S,3,0
29.0,39.32,female,S,1,1
,27.98,male,S,2,1
38.9,77.65,male,Q,3,1
,43.0,male,S,1,1
41.2,7.11,female,n,3,0
36.2,2.93,female,S,3,1
46.6,41.14,male,S,3,0
26.6,1.07,female,C,3,0
31.1,35.25,female,C,1,0
30.3,112.69,female,S,2,0
,34.27,female,S,3,0
38.6,,female,S,1,0
38.1,41.23,male,Q,2,1
35.1,24.52,female,Q,1,0
32.2,31.55,male,S,1,0
18.0,113.53,female,S,2,0
30.0,19.52,male,C,1,0
30.9,129.96,female,S,3,0
25.4,94.3,male,Q,3,0
33.1,8.72,female,S,3,1
39.8,2.88,male,S,2,1
57.6,4.25,female,S,1,1
37.1,0.74,male,S,1,0
38.1,3.97,female,S,3,0
34.1,45.95,male,C,3,1
12.0,2.95,male,S,1,0
34.7,15.37,female,S,3,0
35.7,74.54,female,S,1,0
64.6,0.94,male,S,3,0
32.7,67.38,female,S,3,0
38.6,13.24,male,S,3,0
34.6,5.03,male,C,3,0
21.0,47.73,male,S,3,0
48.7,39.66,female,S,2,1
44.0,,male,S,3,1
,53.13,male,C,1,1
24.1,65.08,female,Q,3,1
,13.25,female,C,3,1
18.2,7.81,female,S,3,0
42.0,55.55,female,S,3,0
61.3,65.77,male,n,3,0
23.1,186.28,male,S,3,1
28.2,21.28,male,S,3,1
,18.61,male,S,1,0
,59.92,female,n,1,1
16.4,16.67,male,S,2,0
35.8,106.81,male,C,1,1
22.3,78.19,female,S,3,0
40.7,22.41,male,S,2,0
24.0,55.59,male,C,3,0
53.6,56.19,male,S,2,0
25.6,4.35,male,C,1,0
31.1,93.14,male,S,3,0
44.8,28.15,male,S,3,1
20.2,,female,C,3,0
37.7,15.43,female,C,3,0
50.7,90.35,male,C,3,1
15.7,19.72,male,S,2,1
37.2,0.44,female,S,3,0
38.1,94.32,male,S,3,0
44.4,3.83,male,S,3,0
20.2,15.39,male,Q,1,0
19.2,119.88,female,S,3,1
41.3,120.32,male,Q,1,0
38.6,34.08,female,S,1,0
38.0,39.97,male,S,2,1
39.2,23.8,female,S,3,0
26.8,,female,Q,3,0
37.8,15.94,male,C,3,0
38.5,44.65,female,C,3,1
26.4,55.83,male,C,2,0
57.4,62.73,female,n,2,1
40.7,62.35,male,C,2,0
20.7,3.83,male,S,3,0
42.9,27.28,female,S,1,1
23.3,2.37,male,S,3,1
44.4,31.9,male,Q,3,1
48.9,23.3,female,Q,2,1
25.2,87.46,male,S,3,1
46.6,17.29,male,C,3,0
40.0,4.98,female,Q,3,0
44.9,6.17,female,S,3,1
57.8,57.34,male,S,2,0
32.1,38.52,male,Q,2,1
26.0,4.26,female,S,3,1
24.3,3.51,female,n,3,0
25.2,48.29,male,S,2,0
34.1,3.02,female,Q,3,1
39.1,69.01,male,Q,3,0
38.3,49.0,male,Q,3,1
44.9,540.0,male,S,1,0
35.2,3.55,male,Q,3,1
52.4,172.62,male,C,3,0
31.8,18.75,female,S,1,1
,18.52,female,C,2,0
42.5,67.02,female,S,3,0
24.7,117.69,female,S,1,0
,170.75,male,S,3,1
40.8,56.0,male,S,3,1
32.3,18.88,male,S,2,0
43.6,3.49,male,C,3,0
40.7,60.05,female,S,2,0
,32.69,male,C,3,1
24.8,22.08,male,S,2,1
16.8,94.73,female,S,3,0
29.6,4.72,female,S,1,0
45.3,27.14,female,C,2,0
37.6,0.46,female,S,3,0
20.1,25.29,male,S,2,0
37.1,,male,Q,3,1
39.6,5.06,female,S,2,0
24.4,5.0,male,S,3,1
36.8,41.9,male,S,1,0
,54.82,male,Q,3,0
,35.02,female,S,3,1
